eta,band,funding,insolvent,sharpe,total_return,max_dd,do_short_pct,p_short_all,p_long_all,n_liquidated,n_trades,total_cost,final_net,seconds
0.2,0.2,True,False,0.8382,19.0753,-0.7554,0.3379,1.0,0.0,130,5327,91364.63,200594.56,1290.3
0.2,0.1,True,False,0.7771,12.988,-0.7838,0.3379,1.0,0.0,179,11917,85076.19,139770.29,1218.4
0.2,0.2,False,False,0.759,11.2909,-0.7554,0.3385,1.0,0.0,160,5876,39724.56,122811.97,643.3
0.01,0.1,True,False,0.7567,11.1103,-0.8499,0.0002,0.0,0.7362,4,348,469.49,121007.39,787.2
0.01,0.03,False,False,0.7442,10.2139,-0.8601,0.0002,0.0,0.6996,7,4738,2229.33,112050.77,71.7
0.01,0.03,True,False,0.739,9.877,-0.8601,0.0002,0.0,0.7362,7,4800,2246.3,108684.16,715.3
0.01,0.1,False,False,0.7369,9.7389,-0.8499,0.0002,0.0,0.6996,4,411,482.42,107304.87,143.3
0.05,0.2,False,False,0.722,8.556,-0.8301,0.0393,0.0,0.989,9,201,551.3,95485.13,428.3
0.2,0.1,False,False,0.712,8.2768,-0.8093,0.3385,1.0,0.0,206,12328,41916.7,92694.64,571.9
0.2,0.03,True,False,0.7008,7.6721,-0.8128,0.3379,1.0,0.0,200,26475,64563.75,86652.76,1146.3
0.05,0.2,True,False,0.6989,7.386,-0.8301,0.0401,0.0,0.9945,9,213,509.43,83793.97,1074.0
0.05,0.1,False,False,0.6919,7.168,-0.8777,0.0393,0.0,0.989,6,660,604.9,81615.4,358.0
0.05,0.1,True,False,0.6915,7.1587,-0.8777,0.0401,0.0,0.9945,6,720,708.36,81523.04,1003.0
0.01,0.2,False,False,0.6849,6.8545,-0.8896,0.0002,0.0,0.6996,6,78,173.08,78482.71,214.7
0.01,0.2,True,False,0.6726,6.2948,-0.8896,0.0002,0.0,0.7362,6,78,141.71,72890.91,859.1
0.2,0.03,False,False,0.6639,5.8526,-0.8325,0.3385,1.0,0.0,216,25602,41345.36,68471.59,500.1
0.05,0.03,True,False,0.6281,4.4316,-0.92,0.0401,0.0,0.9945,7,4406,1088.67,54273.62,931.0
0.05,0.03,False,False,0.6267,4.3721,-0.92,0.0393,0.0,0.989,7,4298,1062.14,53678.57,286.4
