eta,band,funding,insolvent,bankrupt,bankrupt_equity_raw,sharpe,total_return,max_dd,do_short_pct,p_short_all,p_long_all,n_liquidated,n_trades,total_cost,final_net,seconds
0.01,0.03,False,True,False,,0.7415,-0.9964,-0.9999,0.0002,0.0,0.5554,6,13856,6756.09,35.63,73.7
0.01,0.1,False,True,True,-0.58,0.1616,-1.0,-1.0,0.0009,0.0,0.0565,2,2337,5219.39,0.0,92.9
0.01,0.2,False,True,True,-94.96,0.3112,-1.0,-1.0,0.0067,0.0009,0.1355,5,408,4513.03,0.0,95.7
0.05,0.03,False,True,True,-10538.69,2.6768,-1.0,-1.0,0.0028,0.0,0.0064,2,2382,7243.69,0.0,97.1
0.05,0.1,False,True,True,-2131.7,2.8236,-1.0,-1.0,0.0028,0.0,0.0067,2,912,5599.72,0.0,98.6
0.05,0.2,False,True,True,-1555.11,2.7558,-1.0,-1.0,0.0028,0.0,0.0067,1,374,5751.29,0.0,100.0
0.2,0.03,False,True,True,-123.59,0.8676,-1.0,-1.0,0.2865,0.0003,0.998,234,38718,30407.76,0.0,168.8
0.2,0.1,False,True,True,-89.65,0.9196,-1.0,-1.0,0.2865,0.0003,0.998,217,23210,15581.92,0.0,237.4
0.2,0.2,False,True,True,-794.17,2.1273,-1.0,-1.0,0.0703,0.0,0.0,1,847,9912.83,0.0,240.2
0.01,0.03,True,True,False,,0.7432,-0.9962,-0.9999,0.0002,0.0,0.5942,6,13673,6777.44,37.45,314.2
0.01,0.1,True,True,True,-0.24,0.1271,-1.0,-1.0,0.0009,0.0,0.0619,2,2340,5219.36,0.0,333.6
0.01,0.2,True,True,True,-94.96,0.3112,-1.0,-1.0,0.0067,0.0009,0.1355,5,408,4513.03,0.0,336.4
0.05,0.03,True,True,True,-10538.69,2.6768,-1.0,-1.0,0.0028,0.0,0.0064,2,2382,7243.69,0.0,337.8
0.05,0.1,True,True,True,-2131.7,2.8236,-1.0,-1.0,0.0028,0.0,0.0067,2,912,5599.72,0.0,339.2
0.05,0.2,True,True,True,-1555.11,2.7558,-1.0,-1.0,0.0028,0.0,0.0067,1,374,5751.29,0.0,340.7
0.2,0.03,True,True,True,-30.47,0.8354,-1.0,-1.0,0.285,0.0,0.9984,200,44244,30529.02,0.0,409.9
0.2,0.1,True,True,True,-1.15,0.8975,-1.0,-1.0,0.2849,0.0003,0.998,192,24816,12837.56,0.0,478.8
0.2,0.2,True,True,True,-794.17,2.1273,-1.0,-1.0,0.0703,0.0,0.0,1,847,9912.83,0.0,481.6
