eta,band,funding,insolvent,sharpe,total_return,max_dd,do_short_pct,p_short_all,p_long_all,n_liquidated,n_trades,total_cost,final_net,seconds
0.01,0.03,True,True,0.7432,-0.9962,-0.9999,0.0002,0.0,0.5942,6,13673,6777.44,37.45,308.8
0.01,0.03,False,True,0.7415,-0.9964,-0.9999,0.0002,0.0,0.5554,6,13856,6756.09,35.63,72.6
0.01,0.1,True,True,0.1175,-1.0,-1.0,0.0009,0.0,0.0619,2,2340,5219.36,-0.24,327.8
0.2,0.1,True,True,0.8925,-1.0001,-1.0,0.2849,0.0003,0.998,192,24816,12837.56,-1.15,470.5
0.01,0.1,False,True,0.138,-1.0001,-1.0,0.0009,0.0,0.0565,2,2337,5219.39,-0.58,91.4
0.2,0.03,True,True,0.7899,-1.0031,-1.0001,0.285,0.0,0.9984,200,44244,30529.02,-30.47,402.8
0.2,0.1,False,True,0.708,-1.009,-1.0007,0.2865,0.0003,0.998,217,23210,15581.92,-89.65,233.2
0.01,0.2,False,True,0.1626,-1.0095,-1.0011,0.0067,0.0009,0.1355,5,408,4513.03,-94.96,94.1
0.01,0.2,True,True,0.1626,-1.0095,-1.0011,0.0067,0.0009,0.1355,5,408,4513.03,-94.96,330.5
0.2,0.03,False,True,0.7455,-1.0124,-1.0003,0.2865,0.0003,0.998,234,38718,30407.76,-123.59,165.9
0.2,0.2,False,True,1.7337,-1.0797,-1.0085,0.0703,0.0,0.0,1,847,9912.83,-794.17,235.9
0.2,0.2,True,True,1.7337,-1.0797,-1.0085,0.0703,0.0,0.0,1,847,9912.83,-794.17,473.3
0.05,0.2,False,True,2.5651,-1.156,-1.021,0.0028,0.0,0.0067,1,374,5751.29,-1555.11,98.3
0.05,0.2,True,True,2.5651,-1.156,-1.021,0.0028,0.0,0.0067,1,374,5751.29,-1555.11,334.7
0.05,0.1,False,True,2.6253,-1.2139,-1.0212,0.0028,0.0,0.0067,2,912,5599.72,-2131.7,96.9
0.05,0.1,True,True,2.6253,-1.2139,-1.0212,0.0028,0.0,0.0067,2,912,5599.72,-2131.7,333.3
0.05,0.03,False,True,0.9445,-2.0572,-1.0992,0.0028,0.0,0.0064,2,2382,7243.69,-10538.69,95.5
0.05,0.03,True,True,0.9445,-2.0572,-1.0992,0.0028,0.0,0.0064,2,2382,7243.69,-10538.69,331.9
