eta,band,funding,insolvent,sharpe,total_return,max_dd,do_short_pct,p_short_all,p_long_all,n_liquidated,n_trades,total_cost,final_net,seconds
0.05,0.03,True,False,1.9243,55446.8214,-0.9107,0.0401,0.0,0.9945,510,4403,902906164.92,554041572.81,934.2
0.05,0.03,False,False,1.8792,42014.9334,-0.9107,0.0393,0.0,0.989,510,4295,1022842298.3,419828465.9,286.6
0.2,0.2,False,False,1.4536,7458.856,-0.9841,0.3385,1.0,0.0,2438,5909,63763461366.73,74539815.28,646.5
0.2,0.1,True,False,1.4801,7393.0087,-0.9885,0.3379,1.0,0.0,4807,11918,177440759429.38,73881860.8,1221.8
0.2,0.2,True,False,1.1598,358.1264,-0.9945,0.3379,1.0,0.0,846,5327,5232665192.28,3588436.22,1294.5
0.2,0.1,False,False,1.1888,320.2523,-0.9984,0.3385,1.0,0.0,2045,12460,26819663545.79,3209992.89,574.6
0.05,0.1,False,False,1.1495,203.2258,-0.9172,0.0393,0.0,0.989,46,658,13581.87,2040650.14,359.0
0.05,0.1,True,False,1.1512,203.0299,-0.9172,0.0401,0.0,0.9945,46,718,15228.83,2038692.57,1006.1
0.2,0.03,False,True,1.1466,,-9.59242172640503e+198,0.3385,1.0,0.0,955,3006,inf,,502.7
0.2,0.03,True,True,1.1466,,-9.59242172640503e+198,0.3379,1.0,0.0,955,3006,inf,,1149.2
0.05,0.2,False,False,0.7681,12.54,-0.9221,0.0393,0.0,0.989,15,201,439.08,135293.23,431.0
0.05,0.2,True,False,0.7604,11.8749,-0.9221,0.0401,0.0,0.9945,15,213,504.19,128647.45,1077.6
0.01,0.03,False,False,0.7473,10.4296,-0.8678,0.0002,0.0,0.6996,5,4738,2320.18,114205.77,71.7
0.01,0.03,True,False,0.7421,10.0862,-0.8678,0.0002,0.0,0.7362,5,4800,2337.48,110774.29,718.4
0.01,0.1,True,False,0.731,9.3771,-0.8748,0.0002,0.0,0.7362,1,348,413.48,103689.36,790.3
0.01,0.1,False,False,0.7112,8.202,-0.8748,0.0002,0.0,0.6996,1,411,424.99,91947.9,143.1
0.01,0.2,False,False,0.7025,7.7388,-0.8795,0.0002,0.0,0.6996,0,78,154.55,87319.37,214.5
0.01,0.2,True,False,0.6903,7.1162,-0.8795,0.0002,0.0,0.7362,0,78,119.29,81098.17,862.2
